"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FINCYT I","PITEI",2008,"018-FINCYT-PITEI-2008","FABRICACION DEL PROTOTIPO DE UNA MAQUINA DE ANESTESIA CON SISTEMA DE MONITOREO INTEGRAL",20080328,20121027,"TUMIMED S.R. LTDA","MAGDALENA DEL MAR","LIMA","LIMA",150120,303084.3500,27510.0600,126700.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"027-FINCYT-PITEI-2008","OBTENCIÓN DE CARBONATO DE CALCIO ORGANICO A PARTIR DE VALVAS DE CONCHA DE ABANICO (ARGOPECTEN PURPURATUS) Y NAVAJA (ENSIS MACHA) PARA SU UTILIZACIÓN EN LA ALIMENTACIÓN ANIMAL",20080424,20101231,"SYSTEM MARINE E.I.R.L.","BELLAVISTA","PROV. CONST. DEL CALLAO","CALLAO",070102,163078.0000,4745.0000,29745.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"032-FINCYT-PITEI-2008","PORTAL WEB ENVOLTA\" - CONSTRUYE MEJOR\"",20080428,20090128,"EVOLTA S.A.C.","MIRAFLORES","LIMA","LIMA",150122,317148.8200,0.0000,325684.1800,"SOLES",20231030
"FINCYT I","PITEI",2008,"029-FINCYT-PITEI-2008","DESARROLLO DE UN PRODUCTO TECNOLOGICO PARA CALL CENTERS PEQUEÑOS Y MEDIANOS",20080513,20101212,"INFO XXI S.A.C.","SANTIAGO DE SURCO","LIMA","LIMA",150140,261260.0000,25330.0000,79540.2800,"SOLES",20231030
"FINCYT I","PITEI",2008,"033-FINCYT-PITEI-2008","PLATAFORMA DE OPERACIONES ON LINE  PARA MICROFINANCIERAS",20080530,20130209,"GLOBAL SYSTEM & CONSULTING SAC.","AREQUIPA","AREQUIPA","AREQUIPA",040101,107747.1400,0.0000,42501.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"039-FINCYT-PITEI-2008","SISTEMA INTEGRADO DE INFORMACIÓN BASE PARA LA GESTION MUNICIPAL",20080722,20101027,"F & S CONSULTORIA Y SISTEMAS SRL.","BREÑA","LIMA","LIMA",150105,313458.7200,10030.9900,117855.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"041-FINCYT-PITEI-2008","INTRODUCCION INVITRO DE DOS ESPECIES FORESTALES MADERABLES PARA SU PROPAGACION MASIVA CON FINES DE ESTABLECIMIENTO DE PLANTACIONES COMERCIALES EN LA AMAZONIA PERUANA.",20081006,20110514,"BOSQUES AMAZONICOS  S.A.C.","YARINACOCHA","CORONEL PORTILLO","UCAYALI",250105,282672.0000,0.0000,90989.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"074-FINCYT-PITEI-2008","ESTUDIO COMPARATIVO SOBRE LA ADAPTACION DE TRES VARIEDADES DE UVA DE MESA SIN SEMILLA A LAS CONDICIONES ECOLOGICAS DE LA REGION PIURA Y DETERMINACIÓN DEL CICLO DE PRODUCCIÓN ADECUADO BASADO EN LAS CONDICIONES DEL MERCADO INTERNACIONAL",20081006,20101205,"ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA","CASTILLA","PIURA","PIURA",200104,269300.0000,86813.6000,104912.9300,"SOLES",20231030
"FINCYT I","PITEI",2009,"039-FINCYT-PITEI-2009","IDENTIFICACIÓN DE UN HIBRIDO DE STEVIA SP CON MAYOR CONCENTRACIÓN DE GLUCIDOS TOTALES Y REBAUDIOCIDOS A DEL CULTIVAR DEL FUNDO AMERICA EN SANTA RITA DE SIGUAS (AQP) PARA SU PROPAGACIÓN A ESCALA COMERCIAL",20090313,20121215,"FUNDO AMERICA SAC.","AREQUIPA","AREQUIPA","AREQUIPA",040101,42908.1900,17136.9000,18306.8000,"SOLES",20231030
"FINCYT I","PITEI",2009,"018-FINCYT-PITEI-2009","FABRICACIÓN DEL PRODUCTO PROTOTIPO \"PANQUEQUE DE FIBRA DE ALPACA\" A PARTIR DE LA INNOVACIÓN TECNOLOGICA EN LA FABRICACIÓN DE UNA MAQUINA PROTOTIPO \"PANQUEQUERA DE FIBRA DE ALPACA\"",20090204,20110627,"AYLLU CRAFTSMAN PERU S.A.C.","LA MOLINA","LIMA","LIMA",150114,209363.9000,47354.1000,36000.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"069-FINCYT-PITEI-2008","REPRODUCCION EN CAUTIVERIO DE CARACHAMAS (LORICARIIDAE SP.) EN LA REGION LORETO",20081103,20111229,"AQUARIUM RIO MOMON S.R.LTDA","IQUITOS","MAYNAS","LORETO",160101,246017.5000,2400.0000,59608.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"070-FINCYT-PITEI-2008","MARICULTURA ALGAL: DESARROLLO DEL CULTIVODEL ALGA PARDA MACROSYSTIS SPP (KELP) PARA LA PRODUCCION DE AGLUTINANTE ORGANICO UTILIZADO EN LA ELABORACION DE ALIMENTO BALANCEADO PARA ACUICULTURA.",20081001,20110530,"PERUVIAN SEAWEEDS SRL","LURIN","LIMA","LIMA",150119,269252.3900,47097.6100,104608.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"075-FINCYT-PITEI-2008","CONTROL DE ASISTENCIA Y ACCESO CON MICRO CONTROLADORES\, IDENTIFICACION BIOMETRICA Y ADMINISTRADO VIA INTERNET",20081024,20101230,"INGENIERIA DE CONTROL DIGITAL S.A.","JESUS MARIA","LIMA","LIMA",150113,123981.5200,6315.0700,219764.5000,"SOLES",20231030
"FINCYT I","PITEI",2009,"025-FINCYT-PITEI-2009","DISEÑO Y DESARROLLO DE SOFTWARE DE GESTION Y MONITOREO AMBIENTAL PARA LA PEQUEÑA Y MEDIANA MINERIA",20090206,20101229,"DOMINIOTECH SOCIEDAD ANONIMA CERRADA","LINCE","LIMA","LIMA",150116,213509.0000,8291.0000,207220.0000,"SOLES",20231030
"FINCYT I","PITEI",2009,"032-FINCYT-PITEI-2009","NEO-ATIDE INNOVACION TECNOLOGICA EN ACUICULTURA DE PECES ORNAMENTALES EN LA AMAZONIA PERUANA",20090218,20120429,"NEOTROPICAL FAUNA EIRL","SAN JUAN BAUTISTA","MAYNAS","LORETO",160113,183908.7500,12810.0000,16000.0000,"SOLES",20231030
"FINCYT I","PITEA",2007,"023-FINCYT-PITEA-2007","MEJORA DEL PROCESO DE FERMENTACIÓN EN LA OBTENCIÓN DE ACEITUNAS NEGRAS NATURALES (OLEA EUROPEA SATIVA VAR. SEVILLANA) MEDIANTE LA INVESTIGACIÓN Y APLICACIÓN DE LOS MICROORGANISMOS INICIADORES",20071221,20120324,"ASOCIACION DE PRODUCTORES DE ACEITE DE OLIVA DEL PERU","TACNA","TACNA","TACNA",230101,327088.0000,10305.0000,11400.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"024-FINCYT-PITEA-2008","IMPLEMENTACIÓN Y VALIDACIÓN DE TECNOLOGAS PARA EL MANEJO DEL CULTIVO DE CAMU CAMU MYRCIARIA DUBIA A ESCALA COMERCIAL EN LA REGION UCAYALI",20080417,20101030,"PALMAGRO S.A.C.","CALLERIA","CORONEL PORTILLO","UCAYALI",250101,721685.0000,113300.0000,447220.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"025-FINCYT-PITEA-2008","DESARROLLO DE TECNOLOGIA PARA EL DISEÑO Y CONSTRUCCIÓN DE UN FOTOBIOREACTOR  PILOTO PARA LA PRODUCCIÓN DE MICROALGAS (FBR-MA) PARA BIODIESEL Y OTRAS APLICACIONES",20080521,20111130,"ECOENERGIAS DEL PERU S.A.C.","PIURA","PIURA","PIURA",200101,578767.3100,4491.4600,77800.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"023-FINCYT-PITEA-2008","PRODUCCION DE MACA FRESCA Y SUBPRODUCTOS EN EPOCAS DE ESCASEZ DE ALTO CONTENIDO DE GLUCOSINOLATOS Y ALTO VALOR NUTRICIONAL EN ZONAS ALTOANDINAS PRODUCTORAS DEL PERU",20080327,20100626,"ASOCIACION DE PRODUCTORES DE MACA DEL VALLE DEL MANTARO","CHILCA","HUANCAYO","JUNIN",120107,502543.6700,49506.0000,68000.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"021-FINCYT-PITEA-2008","SISTEMA PARA ELEVAR LA PRODUCTIVIDAD\, RENTABILIDAD Y COMPETITIVIDAD DE LAS PYMES MANUFACTURERAS",20080318,20110130,"INTELIBIZ PERU SOCIEDAD ANONIMA","SANTIAGO DE SURCO","LIMA","LIMA",150140,229052.6300,17332.0000,18620.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"030-FINCYT-PITEA-2008","DESARROLLO Y VALIDACIÓN DE CARENET: UNA SOLUCION TECNOLOGICA PARA MEJORAR LA ADHERENCIA Y EL MANEJO DE PACIENTES CON ENFERMEDADES CRONICAS.",20080428,20120327,"VOXIVA S.R.L.","MIRAFLORES","LIMA","LIMA",150122,705235.9100,40618.7700,79895.7100,"SOLES",20231030
"FINCYT I","PITEA",2008,"035-FINCYT-PITEA-2008","MEJORAMIENTO DE TECNOLOGIA DE SIEMBRA EN CULTIVOS HORTICOLAS DE ALTO VALOR EN LA REGION AREQUIPA",20080604,20110615,"SEMILLAS AGRARIAS S.A.C.","SAN BORJA","LIMA","LIMA",150130,48443.9900,8986.5400,20000.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"042-FINCYT-PITEA-2008","PREVENCION DE ENFERMEDADES Y MEJORAMIENTO GENETICO DEL CAMARON LITOPENAEUS VANNAMEI.",20080723,20111212,"MARINAZUL S.A.","SANTIAGO DE SURCO","LIMA","LIMA",150140,641531.3200,168273.0000,557414.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"038-FINCYT-PITEA-2008","DESARROLLO Y VALIDACION DE CONSULTAGRARIA.NET UN INNOVADOR SERVICIO BASADO EN TICS PARA COMERCIALIZAR INFORMACION TECNICO-COMERCIAL A PEQUEÑOS PRODUCTORES AGROPECUARIOS EN VALLES INTERANDINOS.",20080715,20130114,"VOXIVA S.R.L.","MIRAFLORES","LIMA","LIMA",150122,611561.3300,63331.8700,77336.2000,"SOLES",20231030
"FINCYT I","PITEA",2009,"013-FINCYT-PITEA-2009","USO DEL ADN PARA LA IDENTIFICACIÓN Y DETECCIÓN MOLECULAR DE TRIPANOSOMATIDOS PARA EL CONTROL TEMPRANO DE ENFERMEDADES DE LA PALMA ACEITERA",20090128,20121215,"BIO LINKS S.A.","MAGDALENA DEL MAR","LIMA","LIMA",150120,344992.0000,52160.0000,221304.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"062-FINCYT-PITEA-2008","OPTIMIZACIÓN DEL BANCO DE GERMOPLASMA DE ALGODON DE LA ASOCIACION DE AGRICULTORES DE CAÑETE USANDO ESTRATEGIAS MOLECULARES Y MORFOLOGICAS PARA FINES DE MEJORAMIENTO GENÉTICO.",20081006,20110530,"BIO LINKS S.A.","MAGDALENA DEL MAR","LIMA","LIMA",150120,345945.0000,85900.0000,343544.0000,"SOLES",20231030
"FINCYT I","PITEA",2008,"086-FINCYT-PITEA-2008","EVALUACIÓN COMPARATIVA DEL BENEFICIO HÚMEDO TRADICIONAL INDIVIDUAL CON EL BENEFICIO HUMEDO CENTRALIZADO Y SUS EFECTOS EN LA CALIDAD DE LOS CAFES ESPECIALES EN EL VALLE DE CHANCHAMAYO - JUNIN",20081021,20110530,"CENTRAL DE ORGANIZACIONES PRODUCTORAS DE CAFE Y CACAO DEL PERU- CAFE PERU","LIMA","LIMA","LIMA",150101,314408.5300,106356.4700,78000.0000,"SOLES",20231030
"FINCYT I","PITEA",2009,"024-FINCYT-PITEA-2009","CARACTERIZACION Y DOMESTICACION DE LA FLORA MICROBIANA DEL TRACTO DIGESTIVO DEL LANGOSTINO LITOPENAEUS VANNAMEI PARA LA PREVENCION DE ENFERMEDADES BACTERIANAS Y EL INCREMENTO DE LA PRODUCTIVIDAD",20090217,20120105,"MARINAZUL S.A.","SANTIAGO DE SURCO","LIMA","LIMA",150140,377337.3000,115524.0000,140760.0000,"SOLES",20231030
"FINCYT I","PITEA",2009,"042-FINCYT-PITEA-2009","DESARROLLO TECNOLOGIA APROPIADA PARA LA BIODIEGESTION Y COMPUSTAJE DE SUBPRODUCTOS DE LA INDUSTRIA VITIVINICOLA EN LA REGION AREQUIPA",20090330,20111231,"VIÑA VITOR S.A.C.","CAYMA","AREQUIPA","AREQUIPA",040103,53168.5000,10031.5000,28650.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"029-FINCYT-PIBAP-2009","ESTUDIO DE LA VARIABILIDAD GENETICA DEL CAFE Y ESTABLECIMIENTO DE UN BANCO DE GERMOPLASMA EN LA SELVA PERUANA",20090204,20120203,"FUNDACION PARA EL DESARROLLO AGRARIO","JESUS MARIA","LIMA","LIMA",150113,373852.7500,0.0000,51264.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"030-FINCYT-PIBAP-2009","GENERACION DE TECNOLOGIAS DE COSECHA Y POST COSECHA PARA MEJORAR LA CALIDAD DE ACEITE DEL PIÑON BLANCO JATROPHA CURCAS\, EN LA REGION SAN MARTIN",20090420,20120619,"INSTITUTO NACIONAL DE INNOVACION AGRARIA","TARAPOTO","SAN MARTIN","SAN MARTIN",220901,312407.5400,0.0000,92520.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"026-FINCYT-PIBAP-2009","DETERMINACION DE TECNICAS APROPIADAS DE MANEJO SILVICULTURAL Y DE CONSERVACION DE SUELOS PARA INCREMENTAR LA CALIDAD MADERABLE DE PLANTACIONES DE PINO (PINUS RADIATA) INSTALADAS EN AREAS DEGRADADAS DE LA REGION CUSCO",20090423,20120330,"INSTITUTO NACIONAL DE INNOVACION AGRARIA","LA MOLINA","LIMA","LIMA",150114,316495.1900,0.0000,129650.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"015-FINCYT-PIBAP-2009","INVESTIGACION DE UN SISTEMA DE TRATAMIENTO FOTOQUIMICO PARA LA REMOCION DE PATOGENOS Y COMPUESTOS ORGANICOS VOLATILES DEL AIRE EN AMBIENTES CERRADOS",20090219,20111028,"UNIVERSIDAD NACIONAL DE INGENIERIA UNI","RIMAC","LIMA","LIMA",150128,400250.0000,2000.0000,407796.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"022-FINCYT-PIBAP-2009","DESARROLLO DE ENVASES Y EMBALAJES DE PLSTICOS BIODEGRADABLES Y COMPOSTABLES PARA LA MEJORA DE LA COMPETITIVIDAD AGROINDUSTRIAL",20090206,20111123,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,390369.2000,12000.0000,193520.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"041-FINCYT-PIBAP-2009","EVALUACION GENETICA DE PLANTAS SUPERIORES DE CAMU CAMU (MYRCIARIA DUBIA MCVAUGH H.B.K.) EN LORETO Y UCAYALI",20090305,20110529,"INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA","IQUITOS","MAYNAS","LORETO",160101,316330.0000,2000.0000,215560.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"038-FINCYT-PIBAP-2009","SELECCIÓN DE GENOTIPOS SUPERIORES DE CACAO DE ALTO RENDIMIENTO Y RESISTENCIA A ENFERMEDADES",20090219,20110629,"INSTITUTO DE CULTIVOS TROPICALES","LA BANDA DE SHILCAYO","SAN MARTIN","SAN MARTIN",220909,273914.5900,0.0000,198371.1100,"SOLES",20231030
"FINCYT I","PIBAP",2009,"002-FINCYT-PIBAP-2009","DOMESTICACION Y CONSERVACION DE PODANTHERA BIFLORA (YUCA DE MONTE)",20090128,20110529,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,402920.0000,0.0000,185454.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"012-FINCYT-PIBAP-2009","UTILIZACION DE LAS HARINAS DE MACROALGAS VERDES Y PARDAS EN EL ALIMENTO BALANCEADO DEL LANGOSTINO BLANCO LITOPENAEUS VANNAMEI Y SU IMPACTO EN EL PROCESO PRODUCTIVO CONTROL EN LA EXCRECION DE DESECHOS Y RESISTENCIA FRENTE AL VIRUS DE LA MANCHA BLANCA ",20090128,20110330,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,214184.5200,0.0000,118675.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"001-FINCYT-PIBAP-2009","BASES CIENTIFICAS Y TECNOLOGICAS PARA INCREMENTAR LA PRODUCTIVIDAD DEL CULTIVO DE CONCHAS DE ABANICO EN AREAS DE REPOBLAMIENTO EN LA BAHIA DE SECHURA",20090128,20111027,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,401192.6400,0.0000,57514.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"017-FINCYT-PIBAP-2009","PATOGENOS DE ETIOLOGIA EN PAICHE (ARAPAIMA GIGAS) DURANTE LA ETAPA DE ALEVINAJE HASTA ADULTO: IDENTIFICACION\, FRECUENCIA Y CARACTERIZACION",20090204,20120229,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,404005.0000,0.0000,344220.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"016-FINCYT-PIBAP-2009","BIOTECNOLOGIA MOLECULAR EN ACUICULTURA: DESARROLLO DE UN METODO GENETICO DE IDENTIFICACION DEL SEXO EN PAICHE\, HERRAMIENTA INDISPENSABLE PARA LA INNOVACION TECNOLOGICA DE SU CRIANZA EN LA AMAZONIA PERUANA",20090129,20110928,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,404050.0000,0.0000,537818.4800,"SOLES",20231030
"FINCYT I","PIBAP",2009,"021-FINCYT-PIBAP-2009","REGENERADOR DE TEJIDOS BLANDOS Y OSEOS CON TECNOLOGIA MEJORADA BASADA EN FACTORES FISICOS COMBINADOS",20090206,20120819,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,176345.6900,5210.0000,55390.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"020-FINCYT-PIBAP-2009","EQUIPO TELEMEDICO DE SOPORTE DE VIDA PARA NEONATOS CRITICOS",20090206,20111230,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,400939.4400,12150.0000,232029.8500,"SOLES",20231030
"FINCYT I","PIBAP",2009,"027-FINCYT-PIBAP-2009","HISTORIA CLINICA AUTOMATIZADA CON APLICACIONES A LA ICTERICIA EXTRAHEPATICA",20090209,20130123,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","LIMA","LIMA","LIMA",150101,397760.9200,0.0000,85575.5100,"SOLES",20231030
"FINCYT I","PIBAP",2009,"014-FINCYT-PIBAP-2009","ZONIFICACION AGRICOLA DE RIESGOS CLIMATICOS PARA CULTIVOS DE SEGURIDAD ALIMENTARIA Y AGROEXPORTACION EN LAS REGIONES DE AYACUCHO Y HUANCAVELICA",20090129,20121028,"SERVICIO NACIONAL METEOROLOGIA E HIDROL.","JESUS MARIA","LIMA","LIMA",150113,401038.8000,0.0000,474699.5000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"019-FINCYT-PIBAP-2009","SIMULADOR DE MARCHA CON ENTORNO VIRTUAL PARA TELEREHABILITACION DE PERSONAS CON LESIONES MOTORAS EN SUS MIEMBROS INFERIORES",20090206,20120705,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,402455.9000,21000.0000,356956.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"040-FINCYT-PIBAP-2009","PLATAFORMA DE CALCULO ESTOCASTICO DE RUTAS OPTIMAS PARA TRANSPORTE PUBLICO Y PRIVADO",20090305,20120304,"UNIVERSIDAD CATOLICA SAN PABLO","AREQUIPA","AREQUIPA","AREQUIPA",040101,317884.6800,0.0000,13120.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"023-FINCYT-PIBAP-2009","ESTANDARIZACIÓN DE UN EXTRACTO SECO PURIFICADO DE HOJAS UNCARIA TORMENTOSA (WILD.) DC. CULTIVADAS CLONALMENTE CON FINES DE FORMULACIÓN FARMACOLOGICA",20090204,20130129,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,400834.7000,34400.0000,688761.0000,"SOLES",20231030
"FINCYT I","PIBAP",2009,"028-FINCYT-PIBAP-2009","SISTEMA AUTOMATICO DE DIAGNOSTICO DE PARASITOS INTESTINALES  A TRAVES DE IMAGENES DIGITALES",20090209,20120108,"UNIVERSIDAD NACIONAL DE SAN AGUSTIN","AREQUIPA","AREQUIPA","AREQUIPA",040101,403984.0000,0.0000,47708.0000,"SOLES",20231030
"FINCYT I","PIBAP",2008,"001-FINCYT-PIBAP-2008","EVALUACION DE FACTORES BIOQUIMICOS Y MOLECULARES PARA LA DETERMINACION DE BIOMARCADORES DE CARIES Y PERIODONTITIS. ",20080131,20101231,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","LIMA","LIMA","LIMA",150101,68920.0000,0.0000,183244.3700,"SOLES",20231030
"FINCYT I","PIBAP",2007,"002-FINCYT-PIBAP-2007","MEJORA DE LA CALIDAD DE LA HARINA DE PLUMAS MEDIANTE PROCESAMIENTO CON ENZIMAS QUERATINASAS Y SU EVALUACIÓN EN LA ALIMENTACIÓN DE AVES Y TRUCHAS.",20071221,20111220,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,125102.2600,0.0000,18800.0000,"SOLES",20231030
"FINCYT I","PIBAP",2008,"002-FINCYT-PIBAP-2008","PROPUESTA TÉCNICA DE CONFORT TÉRMICO PARA VIVIENDAS EN COMUNIDADES LOCALIZADAS ENTRE 3000 Y 5000 MSNM",20080131,20101105,"UNIVERSIDAD NACIONAL DE INGENIERIA UNI","RIMAC","LIMA","LIMA",150128,324064.5000,38400.0000,0.0000,"SOLES",20231030
"FINCYT I","PIBAP",2007,"003-FINCYT-PIBAP-2007","CREACION DE UNA PLANTA DE PRODUCCION DE BIOINSECTICIDAS PARA EL CONTROL DE MOSQUITOS CON LA PARTICIPACION DE LA COMUNIDAD",20071221,20110320,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,475000.0000,0.0000,259973.0000,"SOLES",20231030
"FINCYT I","PIBAP",2007,"004-FINCYT-PIBAP-2007","FINGERPRINT MOLECULAR\, PROPAGACION IN VITRO\, DETECCION Y LIMPIEZA VIRAL DE UVA PISQUERA",20071221,20110228,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,472216.0000,0.0000,149956.0000,"SOLES",20231030
"FINCYT I","PIBAP",2008,"004-FINCYT-PIBAP-2008","DESARROLLO E INVESTIGACIÓN DE EMBEBIDOS (TIC) PARA APLICACIÓN DE AUTOMATIZACIÓN Y CONTROL DE BAJO COSTO PARA PEQUEÑAS Y MEDIANAS INDUSTRIAS",20080131,20101226,"UNIVERSIDAD DE PIURA","PIURA","PIURA","PIURA",200101,353889.4700,27490.8000,41928.4200,"SOLES",20231030
